2815	4660	504
2568	4886	504
2312	4339	504
3930	4671	502
1446	4859	502
618	4665	502
1900	2731	500
655	1330	500
1828	2478	498
932	4518	498
443	5548	498
4002	4390	496
655	3859	496
355	2516	496
2950	4802	494
2214	3844	494
325	4901	494
4673	5110	492
4630	5332	492
3177	5487	492
1524	5487	492
4308	5773	490
2362	3563	490
1728	5487	490
757	1188	490
3930	5771	488
3333	5707	488
655	1062	488
3835	4388	486
1010	5487	486
36	4678	486
1921	3272	482
2936	2955	480
2689	5417	480
2413	5118	480
757	4712	480
226	4515	480
2887	5362	478
3596	5487	476
1314	2471	476
1111	2441	476
244	1248	476
3242	5487	474
2248	3782	474
1108	3978	474
4678	5756	472
4155	4246	472
3400	3424	472
1944	2448	472
1183	4706	472
3390	4293	470
1485	1725	470
45	641	470
4624	5459	468
851	3930	468
641	4487	468
205	3582	468
3691	5626	464
3948	5537	462
3581	4316	460
2785	4077	460
2576	5362	460
2576	4962	460
2104	3835	460
387	1150	460
4666	5004	458
1890	4630	458
1869	4181	458
972	2249	458
4886	5205	456
1485	3413	456
728	2121	456
420	3270	456
102	2727	456
1309	4180	454
1807	4256	452
420	5475	452
2104	3691	450
4673	5459	448
2940	4673	448
2202	5362	448
1183	2526	448
1045	5031	448
1045	2334	448
817	2471	448
420	1131	448
92	1693	448
3133	3257	446
2990	4112	446
2334	5362	446
1900	2045	446
3696	5769	444
2285	3073	444
518	4026	444
420	5387	444
420	3287	444
2516	4050	442
2339	4624	442
1297	2913	440
1104	2285	440
832	4256	440
464	2045	440
387	1907	440
3141	4144	438
2778	5537	438
954	2563	438
860	3854	438
1900	4574	436
1108	3835	436
501	2045	436
